sum.taxonomy	K0526_B2	K0526_C3	K0526_G5	K0527_A1	K0527_B2	K0527_C3	K0527_E4	K0527_K6	K0527_L7	K0527_T9	K0528_A1	K0528_E4	K0528_G5	K0528_K6	K0528_L7	K0528_T9	K0529_A1	K0529_B2	K0529_C3	K0529_G5	K0529_K6	K0529_L7	K0529_M8	K0529_T9	K0530_A1	K0530_B2	K0530_C3	K0530_E4	K0530_K6	K0530_L7	K0530_M8	K0539_L7	K0585_T9	K0593_A1	K0593_C3	K0593_E4	K0593_G5	K0593_L7	K0593_T9	K0594_A1	K0594_E4	K0594_L7	K0594_T9	K0595_A1	K0595_B2	K0595_G5	K0595_L7	K0595_M8	K0595_T9	K0596_B2	K0596_C3	K0596_E4	K0596_G5	K0596_L7	K0596_T9	K0597_E4	K0597_K6	K0597_L7	K0597_M8	K0597_T9	K0599_A1	K0599_E4	K0599_G5	K0599_K6	K0599_L7	K0599_M8	K0599_T9	K0672_A1	K0672_B2	K0672_C3	K0672_G5	K0672_T9	K0673_A1	K0673_G5	K0674_E4	K0674_G5	K0674_M8	K0676_B2	K0676_M8	K0676_T9	K0677_A1	K0677_B2	K0677_E4	K0677_L7	K0678_B2	K0678_E4	K0678_K6	K0678_L7	K0679_B2	K0679_M8	K0701_C3	K0593_K6	K0593_M8	K0595_K6	K0596_K6	K0597_C3	POUR_1	POUR_12	POUR_13	POUR_14	POUR_145	POUR_146	POUR_16	POUR_17	POUR_18	POUR_19	POUR_2	POUR_20	POUR_21	POUR_22	POUR_23	POUR_24	POUR_25	POUR_26	POUR_27	POUR_28	POUR_29	POUR_3	POUR_30	POUR_31	POUR_32	POUR_33	POUR_34	POUR_35	POUR_36	POUR_37	POUR_38	POUR_39	POUR_4	POUR_40	POUR_41	POUR_42	POUR_43	POUR_44	POUR_45	POUR_46	POUR_48	POUR_49	POUR_5	POUR_6	POUR_7	POUR_8	POUR_9
Cnidaria;Hydrozoa;Anthoathecata;Moerisiidae;Moerisia;Moerisia inkermanica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cnidaria;Hydrozoa;Anthoathecata;Rathkeidae;Rathkea;Rathkea octopunctata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cnidaria;Hydrozoa;Anthoathecata;Zancleidae;Zanclea;unknown	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cnidaria;Hydrozoa;Anthoathecata;Zancleidae;Zanclea;Zanclea implexa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109	0	0	11	0	0	0	0	0	0	28	0	0	0	0	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cnidaria;Hydrozoa;Leptothecata;Aequoreidae;Aequorea;Aequorea sp. MW-2012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	12	0	0	0	26	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cnidaria;Hydrozoa;Leptothecata;Campanulariidae;Clytia;unknown	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cnidaria;Hydrozoa;Leptothecata;Campanulariidae;Eucheilota;Eucheilota sp. JRH-2014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	67	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cnidaria;Hydrozoa;Leptothecata;Campanulariidae;Obelia;Obelia sp. 1 SL-2013	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cnidaria;Hydrozoa;Leptothecata;Campanulariidae;Obelia;unknown	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0
Cnidaria;Hydrozoa;Leptothecata;Mitrocomidae;Mitrocomella;Mitrocomella polydiademata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	21	0	0	0	0	51	0	21	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
