sum.taxonomy	K0526_B2	K0526_C3	K0526_G5	K0527_A1	K0527_B2	K0527_C3	K0527_E4	K0527_K6	K0527_L7	K0527_T9	K0528_A1	K0528_E4	K0528_G5	K0528_K6	K0528_L7	K0528_T9	K0529_A1	K0529_B2	K0529_C3	K0529_G5	K0529_K6	K0529_L7	K0529_M8	K0529_T9	K0530_A1	K0530_B2	K0530_C3	K0530_E4	K0530_K6	K0530_L7	K0530_M8	K0539_L7	K0585_T9	K0593_A1	K0593_C3	K0593_E4	K0593_G5	K0593_L7	K0593_T9	K0594_A1	K0594_E4	K0594_L7	K0594_T9	K0595_A1	K0595_B2	K0595_G5	K0595_L7	K0595_M8	K0595_T9	K0596_B2	K0596_C3	K0596_E4	K0596_G5	K0596_L7	K0596_T9	K0597_E4	K0597_K6	K0597_L7	K0597_M8	K0597_T9	K0599_A1	K0599_E4	K0599_G5	K0599_K6	K0599_L7	K0599_M8	K0599_T9	K0672_A1	K0672_B2	K0672_C3	K0672_G5	K0672_T9	K0673_A1	K0673_G5	K0674_E4	K0674_G5	K0674_M8	K0676_B2	K0676_M8	K0676_T9	K0677_A1	K0677_B2	K0677_E4	K0677_L7	K0678_B2	K0678_E4	K0678_K6	K0678_L7	K0679_B2	K0679_M8	K0701_C3	K0593_K6	K0593_M8	K0595_K6	K0596_K6	K0597_C3	POUR_1	POUR_12	POUR_13	POUR_14	POUR_145	POUR_146	POUR_16	POUR_17	POUR_18	POUR_19	POUR_2	POUR_20	POUR_21	POUR_22	POUR_23	POUR_24	POUR_25	POUR_26	POUR_27	POUR_28	POUR_29	POUR_3	POUR_30	POUR_31	POUR_32	POUR_33	POUR_34	POUR_35	POUR_36	POUR_37	POUR_38	POUR_39	POUR_4	POUR_40	POUR_41	POUR_42	POUR_43	POUR_44	POUR_45	POUR_46	POUR_48	POUR_49	POUR_5	POUR_6	POUR_7	POUR_8	POUR_9
Ascomycota;Dothideomycetes;Capnodiales;Mycosphaerellaceae;unknown;unknown	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	45	0	0	0	0	0	0	0	0	5	0	5	0	0	27	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ascomycota;Dothideomycetes;Capnodiales;Neodevriesiaceae;Neodevriesia;Neodevriesia fraserae	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0
Ascomycota;Dothideomycetes;Capnodiales;Teratosphaeriaceae;Hortaea;Hortaea thailandica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	13	13	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	17	0	0	0	0	0
Ascomycota;Dothideomycetes;Capnodiales;Teratosphaeriaceae;unknown;Teratosphaeriaceae sp. 2 MUT 5396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ascomycota;Dothideomycetes;Capnodiales;unknown;Pseudotaeniolina;Pseudotaeniolina globosa	0	0	0	0	0	0	0	0	0	0	11	0	0	0	9	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	77	0	0	0	4	0	0	5	0	0	0	0	0	0	0	11	0	0	27	3	5	0	0	0	0	24	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	35	0	0	64	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0
Ascomycota;Dothideomycetes;Capnodiales;unknown;unknown;Capnodiales sp.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	3957	0	0	0	0	0	0	0	1599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ascomycota;Dothideomycetes;Capnodiales;unknown;unknown;unknown	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	2	9	0	0	0	73	0	0	0	0	1	0	0	4	9	2	0	0	0	0	0	0	14	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	4	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	90	0	0	2	0	19	0	0	1	0	0	0	3	0	5	29	11	24	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	8	0	0	0	0	0	6	16	0
Ascomycota;Dothideomycetes;Dothideales;Dothioraceae;Hormonema;Hormonema viticola	0	0	0	0	0	0	0	0	0	0	4	0	0	0	4	6	4	0	0	0	0	16	0	0	0	5	7	0	0	0	0	0	0	0	16	23	0	42	0	0	11	4	0	0	22	164	1	0	13	0	0	23	0	0	0	0	0	0	6	0	0	0	0	0	0	0	24	5	0	0	9	0	0	0	0	0	9	0	0	0	0	6	0	3	0	0	0	0	15	0	0	27	0	0	0	0	0	0	18	0	0	0	0	0	47	28	0	0	0	0	0	0	0	23	0	0	0	55	18	0	193	0	0	0	0	0	0	87	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0
Ascomycota;Dothideomycetes;Dothideales;Saccotheciaceae;Aureobasidium;unknown	0	41	4	0	0	0	39	0	0	0	6348	9	0	19	21	4	7	0	15	0	21	2955	16	31	85	59	1	14	12	0	65	0	89	0	180	2	0	1174	41	42	15	33	55	59	124	30	65	17	328	0	23	85	5	36	36	0	75	22	528	0	10	10	276	30	228	0	24	1	44	0	426	0	20	0	0	4	21	0	18	0	5	50	21	21	308	687	20	0	1485	121	29	170	21	49	42	164	150	1304	352	349	0	4155	106	171	9	0	192	33	80	1468	319	387	161	86	64	0	0	40	4796	1027	28	15	347	53	30	1601	241	210	3879	0	44	516	163	7168	84	0	1507	1303	4749	0	0	1820	111
Ascomycota;Dothideomycetes;Dothideales;unknown;unknown;unknown	0	114	0	0	0	0	0	0	0	0	13	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	2	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	10	0	0	0	0	0	0	8	0	23	0	0	0	0	25	1	0	0	0	0	0	1	0	182	0	0	0	5	0	0	1	0	0	0	0	2	0	5	72	1	0	0	0	0	169	121	0	0	0	0	0	1	0	0	102	0	0	0	1	8	0	0	129	2	0	0	0	359	187
